Ano,Mes,Dia,Temperatura,Precipitacao,Dia da Semana,Distancia Data Posterior,Distancia Data Anterior,Vendas 1d anterior,Vendas 2d anterior,Vendas 3d anterior,Vendas 4d anterior,Vendas 5d anterior,Total
2017,11,28,26.4,81.75,2,1,1,314,212,396,336,427,437
2017,11,27,26.6,82,1,1,3,212,396,336,427,312,314
2017,11,24,29.4,54,5,3,1,396,336,427,312,218,212
2017,11,23,22.2,80.25,4,1,1,336,427,312,218,407,396
2017,11,22,23.5,85.5,3,1,1,427,312,218,407,428,336
2017,11,21,29.5,78.25,2,1,1,312,218,407,428,306,427
2017,11,20,21.8,86.5,1,1,3,218,407,428,306,220,312
2017,11,17,29.5,74.5,5,3,1,407,428,306,220,367,218
2017,11,16,31.6,52,4,1,2,428,306,220,367,352,407
2017,11,14,28.3,60.75,2,2,1,306,220,367,352,463,428
2017,11,13,26.8,68,1,1,3,220,367,352,463,320,306
2017,11,10,29.5,65.25,5,3,1,367,352,463,320,306,220
2017,11,9,26.7,82.75,4,1,1,352,463,320,306,451,367
2017,11,8,26.2,77.75,3,1,1,463,320,306,451,353,352
2017,11,7,24.7,73,2,1,1,320,306,451,353,95,463
2017,11,6,19.5,80.75,1,1,5,306,451,353,95,149,320
2017,11,1,22,64.75,3,5,1,451,353,95,149,209,306
2017,10,31,22.7,77.75,2,1,1,353,95,149,209,227,451
2017,10,30,22.4,87.25,1,1,3,95,149,209,227,202,353
2017,10,27,25.8,63.25,5,3,1,149,209,227,202,233,95
2017,10,26,25.6,77.75,4,1,1,209,227,202,233,391,149
2017,10,25,30.3,76.25,3,1,1,227,202,233,391,358,209
2017,10,24,20.9,78.5,2,1,1,202,233,391,358,456,227
2017,10,23,19.7,81.5,1,1,3,233,391,358,456,335,202
2017,10,20,26.1,84,5,3,1,391,358,456,335,323,233
2017,10,19,26.2,84,4,1,1,358,456,335,323,469,391
2017,10,18,31.6,50,3,1,1,456,335,323,469,319,358
2017,10,17,28.5,81,2,1,1,335,323,469,319,297,456
2017,10,16,24.4,76,1,1,5,323,469,319,297,411,335
2017,10,11,34.7,70,3,5,1,469,319,297,411,370,323
2017,10,10,33.9,73,2,1,1,319,297,411,370,412,469
2017,10,9,31.1,65,1,1,3,297,411,370,412,331,319
2017,10,6,33.7,51,5,3,1,411,370,412,331,255,297
2017,10,5,32.1,72,4,1,1,370,412,331,255,446,411
2017,10,4,24.1,63,3,1,1,412,331,255,446,394,370
2017,10,3,23.2,82,2,1,1,331,255,446,394,472,412
2017,10,2,23,73,1,1,3,255,446,394,472,361,331
2017,9,29,23.2,86,5,3,1,446,394,472,361,263,255
2017,9,28,27,77.5,4,1,1,394,472,361,263,428,446
2017,9,27,30.6,49.25,3,1,1,472,361,263,428,336,394
2017,9,26,27.4,74.75,2,1,1,361,263,428,336,470,472
2017,9,25,26.5,71.25,1,1,3,263,428,336,470,343,361
2017,9,22,30,37,5,3,1,428,336,470,343,232,263
2017,9,21,29.7,50.5,4,1,1,336,470,343,232,449,428
2017,9,20,27.2,73,3,1,1,470,343,232,449,386,336
2017,9,19,28.1,74,2,1,1,343,232,449,386,477,470
2017,9,18,30.2,71.25,1,1,3,232,449,386,477,377,343
2017,9,15,33.4,46,5,3,1,449,386,477,377,347,232
2017,9,14,32.7,35.5,4,1,1,386,477,377,347,480,449
2017,9,13,31.8,47.75,3,1,1,477,377,347,480,359,386
2017,9,12,31.1,58.25,2,1,1,377,347,480,359,224,477
2017,9,11,31.9,36.75,1,1,5,347,480,359,224,450,377
2017,9,6,27.2,68,3,5,1,480,359,224,450,375,347
2017,9,5,28.7,46.25,2,1,1,359,224,450,375,491,480
2017,9,4,28.7,41.5,1,1,3,224,450,375,491,347,359
2017,9,1,23.5,79,5,3,1,450,375,491,347,266,224
2017,8,31,25.2,81.75,4,1,1,375,491,347,266,415,450
2017,8,30,31.2,44,3,1,1,491,347,266,415,405,375
2017,8,29,28.4,65.5,2,1,1,347,266,415,405,464,491
2017,8,28,27,66.25,1,1,3,266,415,405,464,358,347
2017,8,25,25.7,73,5,3,1,415,405,464,358,253,266
2017,8,24,23,72.25,4,1,1,405,464,358,253,446,415
2017,8,23,22.2,80.5,3,1,1,464,358,253,446,388,405
2017,8,22,17.7,75.75,2,1,1,358,253,446,388,523,464
2017,8,21,16.2,91,1,1,3,253,446,388,523,346,358
2017,8,18,17.2,94.25,5,3,1,446,388,523,346,245,253
2017,8,17,16.7,93,4,1,1,388,523,346,245,438,446
2017,8,16,16.8,94.5,3,1,1,523,346,245,438,361,388
2017,8,15,16.5,90,2,1,1,346,245,438,361,503,523
2017,8,14,25.2,72,1,1,3,245,438,361,503,319,346
2017,8,11,23,71.75,5,3,1,438,361,503,319,39,245
2017,8,10,24,82,4,1,1,361,503,319,39,45,438
2017,8,9,29.3,46.25,3,1,1,503,319,39,45,97,361
2017,8,8,27.7,49.25,2,1,1,319,39,45,97,115,503
2017,8,7,25.5,64.75,1,1,28,39,45,97,115,138,319
2017,7,10,23.8,71.75,1,28,3,45,97,115,138,134,39
2017,7,7,20.7,75.75,5,3,1,97,115,138,134,211,45
2017,7,6,20.4,71.25,4,1,1,115,138,134,211,308,97
2017,7,5,19.4,72.5,3,1,1,138,134,211,308,353,115
2017,7,4,17.5,71.5,2,1,1,134,211,308,353,401,138
2017,7,3,16,69.75,1,1,3,211,308,353,401,382,134
2017,6,30,24.8,59.5,5,3,1,308,353,401,382,321,211
2017,6,29,25.2,64.25,4,1,1,353,401,382,321,352,308
2017,6,28,25,69.5,3,1,1,401,382,321,352,428,353
2017,6,27,23.5,62.75,2,1,1,382,321,352,428,453,401
2017,6,26,22.3,76.5,1,1,3,321,352,428,453,433,382
2017,6,23,22.8,78,5,3,1,352,428,453,433,376,321
2017,6,22,22.4,74.5,4,1,1,428,453,433,376,449,352
2017,6,21,19.8,86.25,3,1,1,453,433,376,449,403,428
2017,6,20,17.6,90.5,2,1,1,433,376,449,403,286,453
2017,6,19,24.8,75.75,1,1,5,376,449,403,286,408,433
2017,6,14,20.4,85.5,3,5,1,449,403,286,408,393,376
2017,6,13,17.9,95.25,2,1,1,403,286,408,393,442,449
2017,6,12,21.5,71.75,1,1,3,286,408,393,442,431,403
2017,6,9,23.2,68.5,5,3,1,408,393,442,431,17,286
2017,6,8,27.4,57.5,4,1,1,393,442,431,17,12,408
2017,6,7,27.2,84.5,3,1,1,442,431,17,12,17,393
2017,6,6,22.8,91.5,2,1,1,431,17,12,17,27,442
2017,6,5,22.4,91.5,1,1,3,17,12,17,27,16,431
2017,6,2,21.2,71.25,5,3,1,12,17,27,16,141,17
2017,6,1,20.7,80.25,4,1,1,17,27,16,141,117,12
2017,5,31,25,66.75,3,1,1,27,16,141,117,42,17
2017,5,30,21.1,87.75,2,1,1,16,141,117,42,20,27
2017,5,29,25.2,74.25,1,1,3,141,117,42,20,363,16
2017,5,26,28.2,77.75,5,3,1,117,42,20,363,162,141
2017,5,25,27,79,4,1,1,42,20,363,162,35,117
2017,5,24,22,87.5,3,1,1,20,363,162,35,351,42
2017,5,23,22,78.5,2,1,1,363,162,35,351,21,20
2017,5,22,19.5,90.5,1,1,3,162,35,351,21,23,363
2017,5,19,17.4,96,5,3,1,35,351,21,23,27,162
2017,5,18,19.1,88.25,4,1,1,351,21,23,27,28,35
2017,5,17,20.8,79,3,1,1,21,23,27,28,162,351
2017,5,16,22.4,73.25,2,1,1,23,27,28,162,23,21
2017,5,15,23.8,73.75,1,1,3,27,28,162,23,14,23
2017,5,12,24.2,76.75,5,3,1,28,162,23,14,84,27
2017,5,11,21.6,76.75,4,1,1,162,23,14,84,41,28
2017,5,10,23.4,74.25,3,1,1,23,14,84,41,9,162
2017,5,9,25.5,64.25,2,1,1,14,84,41,9,15,23
2017,5,8,24.5,81,1,1,3,84,41,9,15,15,14
2017,5,5,21.8,91.25,5,3,1,41,9,15,15,17,84
2017,5,4,25.8,75.75,4,1,1,9,15,15,17,26,41
2017,5,3,24.8,79.5,3,1,1,15,15,17,26,10,9
2017,5,2,23.4,80.75,2,1,5,15,17,26,10,14,15
2017,4,27,19.9,91.25,4,5,1,17,26,10,14,17,15
2017,4,26,24.2,80.5,3,1,1,26,10,14,17,26,17
2017,4,25,28.5,69.75,2,1,1,10,14,17,26,10,26
2017,4,24,27,78.5,1,1,4,14,17,26,10,22,10
2017,4,20,27.9,69.75,4,4,1,17,26,10,22,14,14
2017,4,19,23,73.5,3,1,1,26,10,22,14,0,17
2017,4,18,22.6,72.75,2,1,1,10,22,14,0,0,26
2017,4,17,24.1,88.25,1,1,4,22,14,0,0,0,10
2017,4,13,20.3,78.75,4,4,1,14,0,0,0,0,22
2017,4,12,25.2,83.5,3,1,69,0,0,0,0,0,14
