@relation 'alunos almoco sem feriados - teste-weka.filters.unsupervised.attribute.Remove-R1'

@attribute Temperatura numeric
@attribute Precipitação numeric
@attribute Segunda numeric
@attribute Terça numeric
@attribute Quarta numeric
@attribute Quinta numeric
@attribute Sexta numeric
@attribute Primavera numeric
@attribute Verao numeric
@attribute Outono numeric
@attribute Inverno numeric
@attribute 'Distancia Data Posterior' numeric
@attribute 'Distancia Data Anterior' numeric
@attribute 'Vendas 1d anterior' numeric
@attribute 'Vendas 2d anterior' numeric
@attribute 'Vendas 3d anterior' numeric
@attribute 'Vendas 4d anterior' numeric
@attribute 'Vendas 5d anterior' numeric
@attribute 'TOTAL VENDIDO ALMOCO' numeric

@data
27.8,47.25,1,0,0,0,0,0,0,0,1,1,3,260,460,436,467,331,358
17.4,83.75,0,0,0,0,0,0,0,0,1,3,1,460,436,467,331,261,260
17.3,86.25,0,0,0,0,0,0,0,0,1,1,1,436,467,331,261,473,460
17.8,84,0,0,0,0,0,0,0,0,1,1,1,467,331,261,473,407,436
27.9,70.75,0,0,0,0,0,0,0,0,1,1,1,331,261,473,407,476,467
21.4,80.5,0,0,0,0,0,0,0,0,1,1,3,261,473,407,476,305,331
20.7,48,0,0,0,0,1,0,0,0,1,3,1,473,407,476,305,20,261
24.6,68.25,0,0,0,1,0,0,0,0,1,1,1,407,476,305,20,40,473
26,67.75,0,0,1,0,0,0,0,0,1,1,1,476,305,20,40,68,407
17.8,84.5,0,1,0,0,0,0,0,0,1,1,1,305,20,40,68,110,476
15.1,89.75,1,0,0,0,0,0,0,0,1,1,24,20,40,68,110,18,305
23.6,61.5,0,0,0,0,1,0,0,0,1,24,1,40,68,110,18,204,20
19.4,68.5,0,0,0,1,0,0,0,0,1,1,1,68,110,18,204,216,40
15.5,76.25,0,0,1,0,0,0,0,0,1,1,1,110,18,204,216,363,68
15.6,79.5,0,1,0,0,0,0,0,0,1,1,4,18,204,216,363,0,110
26.6,57,0,0,0,0,1,0,0,0,1,4,1,204,216,363,0,256,18
28.5,65.25,0,0,0,1,0,0,0,0,1,1,1,216,363,0,256,412,204
23.7,82.25,0,0,1,0,0,0,0,0,1,1,1,363,0,256,412,73,216
24.7,77.75,0,1,0,0,0,0,0,0,1,1,1,0,256,412,73,469,363
27.3,50,1,0,0,0,0,0,0,0,1,1,3,256,412,73,469,391,0
26.4,57.5,0,0,0,0,1,0,0,0,1,3,1,412,73,469,391,0,256
26,70,0,0,0,1,0,0,0,0,1,1,1,73,469,391,0,439,412
23.4,70.75,0,0,1,0,0,0,0,0,1,1,1,469,391,0,439,442,73
26.5,45,0,1,0,0,0,0,0,0,1,1,1,391,0,439,442,468,469
27.2,51.25,1,0,0,0,0,0,0,0,1,1,3,0,439,442,468,382,391
24.6,59.75,0,0,0,0,1,0,0,0,1,3,1,439,442,468,382,353,0
25.4,58,0,0,0,1,0,0,0,0,1,1,1,442,468,382,353,425,439
25.5,66.5,0,0,1,0,0,0,0,1,0,1,1,468,382,353,425,453,442
23.3,80.5,0,1,0,0,0,0,0,1,0,1,1,382,353,425,453,247,468
22,81.5,1,0,0,0,0,0,0,1,0,1,3,353,425,453,247,261,382
16.8,86,0,0,0,0,1,0,0,1,0,3,1,425,453,247,261,309,353
21.2,86.75,0,0,0,1,0,0,0,1,0,1,1,453,247,261,309,496,425
24.2,83.75,0,0,1,0,0,0,0,1,0,1,1,247,261,309,496,456,453
27.9,59,0,1,0,0,0,0,0,1,0,1,1,261,309,496,456,523,247
27.8,71.25,1,0,0,0,0,0,0,1,0,1,3,309,496,456,523,426,261
20.8,83.25,0,0,0,0,1,0,0,1,0,3,1,496,456,523,426,68,309
22.2,79.5,0,0,0,1,0,0,0,1,0,1,1,456,523,426,68,455,496
23.2,83,0,0,1,0,0,0,0,1,0,1,1,523,426,68,455,507,456
18.6,86.25,0,1,0,0,0,0,0,1,0,1,1,426,68,455,507,402,523
17.4,81.75,1,0,0,0,0,0,0,1,0,1,11,68,455,507,402,352,426
22.9,76.25,0,0,0,1,0,0,0,1,0,11,1,455,507,402,352,464,68
22.2,74.25,0,0,1,0,0,0,0,1,0,1,1,507,402,352,464,442,455
24.6,73.5,0,1,0,0,0,0,0,1,0,1,1,402,352,464,442,490,507
21.5,65.75,1,0,0,0,0,0,0,1,0,1,3,352,464,442,490,413,402
27.5,72.5,0,0,0,0,1,0,0,1,0,3,1,464,442,490,413,319,352
24.1,74.75,0,0,0,1,0,0,0,1,0,1,1,442,490,413,319,529,464
27.2,70.5,0,0,1,0,0,0,0,1,0,1,1,490,413,319,529,453,442
22.6,77,0,1,0,0,0,0,0,1,0,1,1,413,319,529,453,503,490
25.6,77,1,0,0,0,0,0,0,1,0,1,3,319,529,453,503,439,413
27.3,59.25,0,0,0,0,1,0,0,1,0,3,1,529,453,503,439,344,319
26.6,65,0,0,0,1,0,0,0,1,0,1,1,453,503,439,344,532,529
25,71.25,0,0,1,0,0,0,0,1,0,1,1,503,439,344,532,457,453
24.1,77,0,1,0,0,0,0,0,1,0,1,1,439,344,532,457,335,503
25.4,74,1,0,0,0,0,0,0,1,0,1,3,344,532,457,335,512,439
