Data,Temperatura,Precipitacao,Segunda,Terca,Quarta,Quinta,Sexta,Primavera,Verao,Outono,Inverno,Distancia Data Posterior,Distancia Data Anterior,Vendas 1d anterior,Vendas 2d anterior,Vendas 3d anterior,Vendas 4d anterior,Vendas 5d anterior,Total
14/06/2018,21.2,86.75,0,0,0,1,0,0,0,1,0,1,1,453,247,261,309,496,425
13/06/2018,24.2,83.75,0,0,1,0,0,0,0,1,0,1,1,247,261,309,496,456,453
12/06/2018,27.9,59,0,1,0,0,0,0,0,1,0,1,1,261,309,496,456,523,247
11/06/2018,27.8,71.25,1,0,0,0,0,0,0,1,0,1,3,309,496,456,523,426,261
08/06/2018,20.8,83.25,0,0,0,0,1,0,0,1,0,3,1,496,456,523,426,68,309
07/06/2018,22.2,79.5,0,0,0,1,0,0,0,1,0,1,1,456,523,426,68,455,496
06/06/2018,23.2,83,0,0,1,0,0,0,0,1,0,1,1,523,426,68,455,507,456
05/06/2018,18.6,86.25,0,1,0,0,0,0,0,1,0,1,1,426,68,455,507,402,523
04/06/2018,17.4,81.75,1,0,0,0,0,0,0,1,0,1,11,68,455,507,402,352,426
24/05/2018,22.9,76.25,0,0,0,1,0,0,0,1,0,11,1,455,507,402,352,464,68
23/05/2018,22.2,74.25,0,0,1,0,0,0,0,1,0,1,1,507,402,352,464,442,455
22/05/2018,24.6,73.5,0,1,0,0,0,0,0,1,0,1,1,402,352,464,442,490,507
21/05/2018,21.5,65.75,1,0,0,0,0,0,0,1,0,1,3,352,464,442,490,413,402
18/05/2018,27.5,72.5,0,0,0,0,1,0,0,1,0,3,1,464,442,490,413,319,352
17/05/2018,24.1,74.75,0,0,0,1,0,0,0,1,0,1,1,442,490,413,319,529,464
16/05/2018,27.2,70.5,0,0,1,0,0,0,0,1,0,1,1,490,413,319,529,453,442
15/05/2018,22.6,77,0,1,0,0,0,0,0,1,0,1,1,413,319,529,453,503,490
14/05/2018,25.6,77,1,0,0,0,0,0,0,1,0,1,3,319,529,453,503,439,413
11/05/2018,27.3,59.25,0,0,0,0,1,0,0,1,0,3,1,529,453,503,439,344,319
10/05/2018,26.6,65,0,0,0,1,0,0,0,1,0,1,1,453,503,439,344,532,529
09/05/2018,25,71.25,0,0,1,0,0,0,0,1,0,1,1,503,439,344,532,457,453
08/05/2018,24.1,77,0,1,0,0,0,0,0,1,0,1,1,439,344,532,457,335,503
07/05/2018,25.4,74,1,0,0,0,0,0,0,1,0,1,3,344,532,457,335,512,439
04/05/2018,29.5,67.75,0,0,0,0,1,0,0,1,0,3,1,532,457,335,512,481,344
03/05/2018,29,73.5,0,0,0,1,0,0,0,1,0,1,1,457,335,512,481,533,532
02/05/2018,27.5,72.75,0,0,1,0,0,0,0,1,0,1,5,335,512,481,533,460,457
27/04/2018,28.6,72.5,0,0,0,0,1,0,0,1,0,5,1,512,481,533,460,320,335
26/04/2018,27.8,75.25,0,0,0,1,0,0,0,1,0,1,1,481,533,460,320,526,512
25/04/2018,28.2,70.75,0,0,1,0,0,0,0,1,0,1,1,533,460,320,526,488,481
24/04/2018,27,68.75,0,1,0,0,0,0,0,1,0,1,1,460,320,526,488,547,533
23/04/2018,26.7,72.5,1,0,0,0,0,0,0,1,0,1,3,320,526,488,547,448,460
20/04/2018,25.8,58.5,0,0,0,0,1,0,0,1,0,3,1,526,488,547,448,349,320
19/04/2018,26.2,62.75,0,0,0,1,0,0,0,1,0,1,1,488,547,448,349,532,526
18/04/2018,25.1,64,0,0,1,0,0,0,0,1,0,1,1,547,448,349,532,491,488
17/04/2018,23.3,75.25,0,1,0,0,0,0,0,1,0,1,1,448,349,532,491,572,547
16/04/2018,21.2,84.5,1,0,0,0,0,0,0,1,0,1,3,349,532,491,572,443,448
13/04/2018,29.8,65.25,0,0,0,0,1,0,0,1,0,3,1,532,491,572,443,398,349
12/04/2018,28.2,72.25,0,0,0,1,0,0,0,1,0,1,1,491,572,443,398,568,532
11/04/2018,27.7,69,0,0,1,0,0,0,0,1,0,1,1,572,443,398,568,465,491
10/04/2018,28.2,68.25,0,1,0,0,0,0,0,1,0,1,1,443,398,568,465,551,572
09/04/2018,27.8,74.25,1,0,0,0,0,0,0,1,0,1,3,398,568,465,551,486,443
06/04/2018,27.2,72,0,0,0,0,1,0,0,1,0,3,1,568,465,551,486,424,398
05/04/2018,27.8,74.25,0,0,0,1,0,0,0,1,0,1,1,465,551,486,424,398,568
04/04/2018,26.8,79,0,0,1,0,0,0,0,1,0,1,1,551,486,424,398,520,465
03/04/2018,26.3,81.5,0,1,0,0,0,0,0,1,0,1,1,486,424,398,520,463,551
02/04/2018,26,77.5,1,0,0,0,0,0,0,1,0,1,4,424,398,520,463,389,486
29/03/2018,28.5,77.75,0,0,0,1,0,0,0,1,0,4,1,398,520,463,389,525,424
