Data,Temperatura,Precipitação,Segunda,Terça,Quarta,Quinta,Sexta,Primavera,Verao,Outono,Inverno,Distancia Data Posterior,Distancia Data Anterior,Vendas 1d anterior,Vendas 2d anterior,Vendas 3d anterior,Vendas 4d anterior,Vendas 5d anterior,TOTAL VENDIDO ALMOCO
08/06/2017,27.4,57.5,0,0,0,1,0,0,0,1,0,1,1,393,442,431,17,12,408
07/06/2017,27.2,84.5,0,0,1,0,0,0,0,1,0,1,1,442,431,17,12,17,393
06/06/2017,22.8,91.5,0,1,0,0,0,0,0,1,0,1,1,431,17,12,17,27,442
05/06/2017,22.4,91.5,1,0,0,0,0,0,0,1,0,1,3,17,12,17,27,16,431
02/06/2017,21.2,71.25,0,0,0,0,1,0,0,1,0,3,1,12,17,27,16,141,17
01/06/2017,20.7,80.25,0,0,0,1,0,0,0,1,0,1,1,17,27,16,141,117,12
31/05/2017,25,66.75,0,0,1,0,0,0,0,1,0,1,1,27,16,141,117,42,17
30/05/2017,21.1,87.75,0,1,0,0,0,0,0,1,0,1,1,16,141,117,42,20,27
29/05/2017,25.2,74.25,1,0,0,0,0,0,0,1,0,1,3,141,117,42,20,363,16
26/05/2017,28.2,77.75,0,0,0,0,1,0,0,1,0,3,1,117,42,20,363,162,141
25/05/2017,27,79,0,0,0,1,0,0,0,1,0,1,1,42,20,363,162,35,117
24/05/2017,22,87.5,0,0,1,0,0,0,0,1,0,1,1,20,363,162,35,351,42
23/05/2017,22,78.5,0,1,0,0,0,0,0,1,0,1,1,363,162,35,351,21,20
22/05/2017,19.5,90.5,1,0,0,0,0,0,0,1,0,1,3,162,35,351,21,23,363
19/05/2017,17.4,96,0,0,0,0,1,0,0,1,0,3,1,35,351,21,23,27,162
18/05/2017,19.1,88.25,0,0,0,1,0,0,0,1,0,1,1,351,21,23,27,28,35
17/05/2017,20.8,79,0,0,1,0,0,0,0,1,0,1,1,21,23,27,28,162,351
16/05/2017,22.4,73.25,0,1,0,0,0,0,0,1,0,1,1,23,27,28,162,23,21
15/05/2017,23.8,73.75,1,0,0,0,0,0,0,1,0,1,3,27,28,162,23,14,23
12/05/2017,24.2,76.75,0,0,0,0,1,0,0,1,0,3,1,28,162,23,14,84,27
11/05/2017,21.6,76.75,0,0,0,1,0,0,0,1,0,1,1,162,23,14,84,41,28
10/05/2017,23.4,74.25,0,0,1,0,0,0,0,1,0,1,1,23,14,84,41,9,162
09/05/2017,25.5,64.25,0,1,0,0,0,0,0,1,0,1,1,14,84,41,9,15,23
08/05/2017,24.5,81,1,0,0,0,0,0,0,1,0,1,3,84,41,9,15,15,14
05/05/2017,21.8,91.25,0,0,0,0,1,0,0,1,0,3,1,41,9,15,15,17,84
04/05/2017,25.8,75.75,0,0,0,1,0,0,0,1,0,1,1,9,15,15,17,26,41
03/05/2017,24.8,79.5,0,0,1,0,0,0,0,1,0,1,1,15,15,17,26,10,9
02/05/2017,23.4,80.75,0,1,0,0,0,0,0,1,0,1,5,15,17,26,10,14,15
27/04/2017,19.9,91.25,0,0,0,1,0,0,0,1,0,5,1,17,26,10,14,17,15
26/04/2017,24.2,80.5,0,0,1,0,0,0,0,1,0,1,1,26,10,14,17,26,17
25/04/2017,28.5,69.75,0,1,0,0,0,0,0,1,0,1,1,10,14,17,26,10,26
24/04/2017,27,78.5,1,0,0,0,0,0,0,1,0,1,4,14,17,26,10,22,10
20/04/2017,27.9,69.75,0,0,0,1,0,0,0,1,0,4,1,17,26,10,22,14,14
19/04/2017,23,73.5,0,0,1,0,0,0,0,1,0,1,1,26,10,22,14,0,17
18/04/2017,22.6,72.75,0,1,0,0,0,0,0,1,0,1,1,10,22,14,0,0,26
17/04/2017,24.1,88.25,1,0,0,0,0,0,0,1,0,1,4,22,14,0,0,0,10
13/04/2017,20.3,78.75,0,0,0,1,0,0,0,1,0,4,1,14,0,0,0,0,22
12/04/2017,25.2,83.5,0,0,1,0,0,0,0,1,0,1,69,0,0,0,0,0,14
,,,,,,,,,,,,,,,,,,,0
