--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2017 a 31/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempMaxima;Umidade Relativa Media;
83781;03/09/2017;0000;26.8;59;
83781;04/09/2017;0000;28.7;41.5;
83781;05/09/2017;0000;28.7;46.25;
83781;06/09/2017;0000;27.2;68;
83781;07/09/2017;0000;28.3;41.25;
83781;08/09/2017;0000;29.9;39;
83781;09/09/2017;0000;30.2;43;
83781;10/09/2017;0000;30.4;41.25;
83781;11/09/2017;0000;31.9;36.75;
83781;12/09/2017;0000;31.1;58.25;
83781;13/09/2017;0000;31.8;47.75;
83781;14/09/2017;0000;32.7;35.5;
83781;15/09/2017;0000;33.4;46;
83781;16/09/2017;0000;32.2;63.5;
83781;17/09/2017;0000;32.2;65.25;
83781;18/09/2017;0000;30.2;71.25;
83781;19/09/2017;0000;28.1;74;
83781;20/09/2017;0000;27.2;73;
83781;21/09/2017;0000;29.7;50.5;
83781;22/09/2017;0000;30;37;
83781;23/09/2017;0000;30.7;55.5;
83781;24/09/2017;0000;24.5;71.75;
83781;25/09/2017;0000;26.5;71.25;
83781;26/09/2017;0000;27.4;74.75;
83781;27/09/2017;0000;30.6;49.25;
83781;28/09/2017;0000;27;77.5;
83781;29/09/2017;0000;23.2;86;
83781;30/09/2017;0000;22.2;86;
83781;01/10/2017;0000;27;60.75;
83781;02/10/2017;0000;23;73;
83781;03/10/2017;0000;23.2;82;
83781;04/10/2017;0000;24.1;63;
83781;05/10/2017;0000;32.1;72;
83781;06/10/2017;0000;33.7;51;
83781;07/10/2017;0000;26;93;
83781;08/10/2017;0000;25.8;79;
83781;09/10/2017;0000;31.1;65;
83781;10/10/2017;0000;33.9;73;
83781;11/10/2017;0000;34.7;70;
83781;12/10/2017;0000;34.5;77;
83781;13/10/2017;0000;34.5;67;
83781;14/10/2017;0000;31.4;80;
83781;15/10/2017;0000;19.8;84;
83781;16/10/2017;0000;24.4;76;
83781;17/10/2017;0000;28.5;81;
83781;18/10/2017;0000;31.6;50;
83781;19/10/2017;0000;26.2;84;
83781;20/10/2017;0000;26.1;84;
83781;21/10/2017;0000;25.7;71;
83781;22/10/2017;0000;23.5;85.25;
83781;23/10/2017;0000;19.7;81.5;
83781;24/10/2017;0000;20.9;78.5;
83781;25/10/2017;0000;30.3;76.25;
83781;26/10/2017;0000;25.6;77.75;
83781;27/10/2017;0000;25.8;63.25;
83781;28/10/2017;0000;28;66.25;
83781;29/10/2017;0000;24.8;76;
83781;30/10/2017;0000;22.4;87.25;
83781;31/10/2017;0000;22.7;77.75;
83781;01/11/2017;0000;22;64.75;
83781;02/11/2017;0000;25.8;68.25;
83781;03/11/2017;0000;31.5;59.75;
83781;04/11/2017;0000;29.8;76.5;
83781;05/11/2017;0000;21.4;86.25;
83781;06/11/2017;0000;19.5;80.75;
83781;07/11/2017;0000;24.7;73;
83781;08/11/2017;0000;26.2;77.75;
83781;09/11/2017;0000;26.7;82.75;
83781;10/11/2017;0000;29.5;65.25;
83781;11/11/2017;0000;24.8;77.5;
83781;12/11/2017;0000;28.4;40.25;
83781;13/11/2017;0000;26.8;68;
83781;14/11/2017;0000;28.3;60.75;
83781;15/11/2017;0000;32.4;53.75;
83781;16/11/2017;0000;31.6;52;
83781;17/11/2017;0000;29.5;74.5;
83781;18/11/2017;0000;29.8;76.5;
83781;19/11/2017;0000;26.2;83;
83781;20/11/2017;0000;21.8;86.5;
83781;21/11/2017;0000;29.5;78.25;
83781;22/11/2017;0000;23.5;85.5;
83781;23/11/2017;0000;22.2;80.25;
83781;24/11/2017;0000;29.4;54;
83781;25/11/2017;0000;32.1;63.75;
83781;26/11/2017;0000;25.9;74.75;
83781;27/11/2017;0000;26.6;82;
83781;28/11/2017;0000;26.4;81.75;
83781;29/11/2017;0000;26.2;69;
